Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
19,1670404403017,07/12/2022 09:13:23,1670404402885,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS9-quantised,1
20,1670404403017,07/12/2022 09:13:23,1670404402885,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS10,Disagree
21,1670404403017,07/12/2022 09:13:23,1670404402885,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS10-quantised,2
22,1670404403017,07/12/2022 09:13:23,1670404402886,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS11,Agree
23,1670404403091,07/12/2022 09:13:23,1670404402886,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS11-quantised,4
24,1670404403091,07/12/2022 09:13:23,1670404402886,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS12,Strongly Agree
25,1670404403091,07/12/2022 09:13:23,1670404402886,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS12-quantised,5
26,1670404403091,07/12/2022 09:13:23,1670404402886,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS13,Agree
27,1670404403091,07/12/2022 09:13:23,1670404402886,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS13-quantised,4
28,1670404403091,07/12/2022 09:13:23,1670404402887,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS14,Neither Agree or Disagree
29,1670404403091,07/12/2022 09:13:23,1670404402887,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS14-quantised,3
30,1670404403091,07/12/2022 09:13:23,1670404402887,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS15,Agree
31,1670404403091,07/12/2022 09:13:23,1670404402888,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS15-quantised,4
32,1670404403091,07/12/2022 09:13:23,1670404402888,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS16,Disagree
33,1670404403091,07/12/2022 09:13:23,1670404402888,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS16-quantised,2
34,1670404403091,07/12/2022 09:13:23,1670404402888,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS17,Disagree
35,1670404403091,07/12/2022 09:13:23,1670404402888,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS17-quantised,2
36,1670404403091,07/12/2022 09:13:23,1670404402888,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS18,Strongly Disagree
37,1670404403091,07/12/2022 09:13:23,1670404402889,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS18-quantised,1
38,1670404403091,07/12/2022 09:13:23,1670404402889,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS19,Agree
39,1670404403091,07/12/2022 09:13:23,1670404402889,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS19-quantised,4
40,1670404403091,07/12/2022 09:13:23,1670404402889,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS20,Strongly Disagree
41,1670404403091,07/12/2022 09:13:23,1670404402890,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS20-quantised,1
42,1670404403091,07/12/2022 09:13:23,1670404402890,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS21,Strongly Disagree
43,1670404403137,07/12/2022 09:13:23,1670404402890,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS21-quantised,1
44,1670404403137,07/12/2022 09:13:23,1670404402890,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS_attention-2,b) How accurate you are at perceiving these sensations (e.g. how good you are at feeling/detecting them when they occur). How well you can tell them apart from other sensations when they occur? How precise you are at sensing them (regardless of how much you monitor them or how often they occur).
45,1670404403137,07/12/2022 09:13:23,1670404402890,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS_attention-text,
46,1670404403137,07/12/2022 09:13:23,1670404402891,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,END QUESTIONNAIRE,537090
1,1671023372965,14/12/2022 13:09:32,1671023372901,0,14/12/2022 13:09:32,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,BEGIN QUESTIONNAIRE,
2,1671023585713,14/12/2022 13:13:05,1671023585679,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS1,Disagree
3,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS1-quantised,2
4,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS2,Disagree
5,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS2-quantised,2
6,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS3,Disagree
7,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS3-quantised,2
8,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS4,Disagree
9,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS4-quantised,2
10,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS5,Neither Agree or Disagree
11,1671023585783,14/12/2022 13:13:05,1671023585680,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS5-quantised,3
12,1671023585783,14/12/2022 13:13:05,1671023585681,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS6,Disagree
13,1671023585783,14/12/2022 13:13:05,1671023585681,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS6-quantised,2
14,1671023585783,14/12/2022 13:13:05,1671023585681,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS7,Disagree
15,1671023585783,14/12/2022 13:13:05,1671023585681,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS7-quantised,2
16,1671023585783,14/12/2022 13:13:05,1671023585681,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS8,Strongly Disagree
17,1671023585783,14/12/2022 13:13:05,1671023585681,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS8-quantised,1
18,1671023585783,14/12/2022 13:13:05,1671023585681,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS9,Strongly Disagree
19,1671023585783,14/12/2022 13:13:05,1671023585682,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS9-quantised,1
20,1671023585783,14/12/2022 13:13:05,1671023585682,0,14/12/2022 13:13:05,100427,13,questionnaire-cfle,,25950994,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,IATS (Full),3,,first_interoception,,BA,BA,accept,No,IATS10,Strongly Disagree
