Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
18,1670405001010,07/12/2022 09:23:21,1670405000879,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ9,Sometimes
19,1670405001010,07/12/2022 09:23:21,1670405000879,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ9-quantised,3
20,1670405001010,07/12/2022 09:23:21,1670405000879,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ10,Rarely
21,1670405001010,07/12/2022 09:23:21,1670405000879,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ10-quantised,2
22,1670405001010,07/12/2022 09:23:21,1670405000879,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ11,Never
23,1670405001070,07/12/2022 09:23:21,1670405000879,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ11-quantised,1
24,1670405001070,07/12/2022 09:23:21,1670405000880,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ12,Rarely
25,1670405001070,07/12/2022 09:23:21,1670405000880,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ12-quantised,2
26,1670405001070,07/12/2022 09:23:21,1670405000880,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ13,Always
27,1670405001070,07/12/2022 09:23:21,1670405000880,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ13-quantised,5
