subject,effect,condition
1,16.1,biological
2,10.3,biological
3,11.51,biological
4,53.21,biological
5,32.42,biological
6,97.05,biological
7,12.97,biological
8,155.97,biological
9,124.07,biological
10,4.84,biological
11,38.62,biological
12,-24.58,biological
13,50,biological
14,70.29,biological
15,17.67,biological
16,22.7,biological
17,51.07,biological
18,-62.4,biological
19,-31.36,biological
20,51.71,biological
21,-9.77,biological
22,26.93,biological
23,28.11,biological
24,28.08,biological
25,39.62,biological
26,-11.41,biological
27,46.84,biological
28,-20.8,biological
29,28.67,biological
30,35.57,biological
31,46.48,biological
32,26.87,biological
33,11.96,biological
34,1.98,biological
35,-7.61,biological
36,25.84,biological
37,-65.01,biological
38,26.9,biological
39,33.64,biological
40,155.76,biological
41,127.06,biological
42,-5.48,biological
43,0.85,biological
44,-47.82,biological
45,24.21,biological
46,34.49,biological
47,138.64,biological
48,29.71,biological
49,101.17,biological
50,16.08,biological
51,31,biological
52,24.32,biological
53,25.53,biological
54,-27.72,biological
55,14.71,biological
56,129.93,biological
57,-8.08,biological
58,18.02,biological
59,30.78,biological
60,49.91,biological
61,40.21,biological
62,80.08,biological
63,11.28,biological
64,-7.97,biological
65,181.6,biological
66,16.4,biological
67,13.59,biological
68,54.54,biological
69,89.21,biological
70,33.14,biological
71,127.99,biological
72,96.41,biological
73,27.62,biological
74,-1.44,biological
75,17.29,biological
76,39.59,biological
77,-1.35,biological
78,-71.34,biological
79,18.5,biological
80,32.38,biological
81,22.22,biological
82,154.63,biological
83,-16.55,biological
1,30.2,non-biological
2,49.75,non-biological
3,-40.8,non-biological
4,-3.68,non-biological
5,-8.87,non-biological
6,-4.33,non-biological
7,23.22,non-biological
8,13.97,non-biological
9,75.27,non-biological
10,15.23,non-biological
11,-37.9,non-biological
12,9.57,non-biological
13,73.87,non-biological
14,41.1,non-biological
15,45.24,non-biological
16,-12.54,non-biological
17,41.22,non-biological
18,89.63,non-biological
19,26.76,non-biological
20,39.77,non-biological
21,-12.2,non-biological
22,-52.18,non-biological
23,2.78,non-biological
24,-0.83,non-biological
25,-18.7,non-biological
26,35.53,non-biological
27,14.38,non-biological
28,53.29,non-biological
29,30.34,non-biological
30,59.18,non-biological
31,20.45,non-biological
32,23.71,non-biological
33,14.41,non-biological
34,26.34,non-biological
35,-25.09,non-biological
36,57.29,non-biological
37,172.74,non-biological
38,33.18,non-biological
39,46.64,non-biological
40,68.61,non-biological
41,40.84,non-biological
42,-18.87,non-biological
43,66.14,non-biological
44,-72.61,non-biological
45,-16.95,non-biological
46,37.97,non-biological
47,23.47,non-biological
48,44.32,non-biological
49,123.03,non-biological
50,55.45,non-biological
51,83.22,non-biological
52,16.64,non-biological
53,-17.58,non-biological
54,-19.04,non-biological
55,24.34,non-biological
56,67.12,non-biological
57,23.67,non-biological
58,-6.95,non-biological
59,94.27,non-biological
60,85.5,non-biological
61,15.46,non-biological
62,53.02,non-biological
63,47.89,non-biological
64,-38.12,non-biological
65,60.48,non-biological
66,51.82,non-biological
67,51.33,non-biological
68,0.01,non-biological
69,35.08,non-biological
70,19.69,non-biological
71,66.05,non-biological
72,80.25,non-biological
73,-29.75,non-biological
74,53.7,non-biological
75,146.95,non-biological
76,-1.36,non-biological
77,-23.57,non-biological
78,136.6,non-biological
79,98.33,non-biological
80,96.87,non-biological
81,2.84,non-biological
82,16.05,non-biological
83,104.87,non-biological
